"YEAR" "TRIAL" "LOCATION" "TRIAL_ID" "YEAR_LOCATION" "BLOCK" "LINE_ID" "YIELD" "GERMPLASM_TYPE" "GENOTYPE_FILE"
"1998" "E2-9" "UEPL" "1998_E2-9_UEPL" "1998-UEPL" "2" "GID_9411" 3725 "Indica" "IND"
"1998" "E2-9" "UEPL" "1998_E2-9_UEPL" "1998-UEPL" "2" "GID_10396" 4358.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-9" "UEPL" "1998_E2-9_UEPL" "1998-UEPL" "3" "GID_9411" 4825 "Indica" "IND"
"1998" "E2-9" "UEPL" "1998_E2-9_UEPL" "1998-UEPL" "3" "GID_10396" 5316.66666666667 "Tropical Japonica" "JAP"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "1" "GID_9411" 6112.5 "Indica" "IND"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "1" "GID_5306" 6641.66666666667 "Tropical Japonica" "JAP"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "1" "GID_10396" 6512.5 "Tropical Japonica" "JAP"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "2" "GID_9411" 5679.16666666667 "Indica" "IND"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "2" "GID_5306" 6379.16666666667 "Tropical Japonica" "JAP"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "2" "GID_10396" 5970.83333333333 "Tropical Japonica" "JAP"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "3" "GID_9411" 5395.83333333333 "Indica" "IND"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "3" "GID_5306" 6445.83333333333 "Tropical Japonica" "JAP"
"1998" "E3-2" "UEPL" "1998_E3-2_UEPL" "1998-UEPL" "3" "GID_10396" 7170.83333333333 "Tropical Japonica" "JAP"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "1" "GID_9411" 5445.83333333333 "Indica" "IND"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "1" "GID_5306" 5891.66666666667 "Tropical Japonica" "JAP"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "1" "GID_10396" 6829.16666666667 "Tropical Japonica" "JAP"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "2" "GID_9411" 4620.83333333333 "Indica" "IND"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "2" "GID_5306" 7629.16666666667 "Tropical Japonica" "JAP"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "2" "GID_10396" 7216.66666666667 "Tropical Japonica" "JAP"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "3" "GID_9411" 6004.16666666667 "Indica" "IND"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "3" "GID_5306" 5816.66666666667 "Tropical Japonica" "JAP"
"1998" "E3-3" "UEPL" "1998_E3-3_UEPL" "1998-UEPL" "3" "GID_10396" 6604.16666666667 "Tropical Japonica" "JAP"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "1" "GID_9411" 3437.5 "Indica" "IND"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "1" "GID_5306" 5962.5 "Tropical Japonica" "JAP"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "1" "GID_10396" 6266.66666666667 "Tropical Japonica" "JAP"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "2" "GID_9411" 3033.33333333333 "Indica" "IND"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "2" "GID_5306" 5829.16666666667 "Tropical Japonica" "JAP"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "2" "GID_10396" 6800 "Tropical Japonica" "JAP"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "3" "GID_9411" 5912.5 "Indica" "IND"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "3" "GID_5306" 6095.83333333333 "Tropical Japonica" "JAP"
"1998" "E3-4" "UEPL" "1998_E3-4_UEPL" "1998-UEPL" "3" "GID_10396" 7520.83333333333 "Tropical Japonica" "JAP"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "1" "GID_9411" 5612.5 "Indica" "IND"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "1" "GID_5306" 7000 "Tropical Japonica" "JAP"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "1" "GID_10396" 7404.16666666667 "Tropical Japonica" "JAP"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "1" "GID_16864" 6983.33333333333 "Tropical Japonica" "JAP"
